geom,Address,Age 65+ Total,All_Persons,% of Seniors,latitude,longitude,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,has_shelter,has_shelter_with_bench,distance,id,source,bench_count,amenity
"{""type"":""LineString"",""coordinates"":[[-79.169374,43.80281999999999],[-79.169156,43.80313199999999],[-79.169076,43.803246],[-79.169003,43.80335099999999],[-79.16920899999999,43.803786],[-79.168948,43.804101],[-79.16897899999999,43.80415299999999],[-79.169027,43.804257],[-79.16905199999999,43.80431]]}",10 Dean Park Rd,"160","348",0.459770114942529,43.8027455,-79.1697118,"6578",Meadowvale Rd at Dean Park Rd,43.804327,-79.168982,Some,"0","1","182","1",OpenStreetMaps,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.169076,43.802016],[-79.168937,43.802284],[-79.168919,43.80232699999999],[-79.168907,43.802356],[-79.16896199999999,43.802463],[-79.16901,43.802557],[-79.16902199999999,43.802585],[-79.16906899999999,43.80269299999999],[-79.169162,43.802731],[-79.16894899999999,43.80305899999999],[-79.169156,43.80313199999999],[-79.169076,43.803246],[-79.169003,43.80335099999999],[-79.16920899999999,43.803786],[-79.168948,43.804101],[-79.16897899999999,43.80415299999999],[-79.169027,43.804257],[-79.16905199999999,43.80431]]}",20 Dean Park Rd,"170","350",0.485714285714286,43.8018906,-79.169271,"6578",Meadowvale Rd at Dean Park Rd,43.804327,-79.168982,Some,"0","1","289","2",OpenStreetMaps,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.14812299999999,43.799028],[-79.148009,43.79928499999999],[-79.147962,43.79939199999999],[-79.148004,43.79954699999999],[-79.14795599999999,43.79960299999999],[-79.147925,43.79963899999999],[-79.14776399999999,43.799574],[-79.14750499999999,43.79953299999999],[-79.147445,43.79950999999999],[-79.147013,43.799315],[-79.146984,43.79929899999999]]}",11753 Sheppard Ave E,"170","454",0.374449339207048,43.7991364,-79.1485917,"7199",Sheppard Ave East at Kingston Rd,43.799271,-79.146963,Some,"1","1","158","3",OpenStreetMaps,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.21849,43.80785],[-79.21824999999999,43.80794],[-79.21822,43.80798],[-79.21822,43.80798],[-79.21829999999999,43.80812999999999],[-79.21837999999999,43.80816999999999],[-79.21838999999999,43.80818],[-79.21838999999999,43.80818],[-79.21849,43.80814999999999],[-79.21868999999999,43.80807],[-79.21872,43.80805999999999],[-79.21878999999999,43.80803],[-79.21886,43.80801999999999],[-79.21890999999999,43.80801],[-79.21895999999999,43.80801],[-79.21902,43.80801999999999],[-79.21916,43.80805],[-79.21921,43.80805],[-79.21925,43.80805],[-79.21927999999999,43.80803999999999],[-79.21932999999999,43.80801999999999],[-79.21939999999999,43.80798999999999],[-79.21949999999999,43.80794999999999],[-79.21953999999999,43.80794]]}",1315 Neilson Rd,"145","174",0.833333333333333,43.8078865,-79.2185917,"11329",1315 and 1319 Neilson Rd,43.807848,-79.219558,Some,"1","1","165","4",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.21822,43.80838],[-79.21819999999999,43.80832999999999],[-79.21819999999999,43.8083],[-79.21820999999999,43.80829],[-79.21820999999999,43.80827],[-79.21822,43.80825999999999],[-79.21823999999999,43.80823999999999],[-79.21824999999999,43.80823],[-79.21833999999999,43.80819999999999],[-79.21838999999999,43.80819],[-79.21838999999999,43.80819],[-79.21849,43.80814999999999],[-79.21868999999999,43.80807],[-79.21872,43.80805999999999],[-79.21878999999999,43.80803],[-79.21886,43.80801999999999],[-79.21890999999999,43.80801],[-79.21895999999999,43.80801],[-79.21902,43.80801999999999],[-79.21916,43.80805],[-79.21921,43.80805],[-79.21925,43.80805],[-79.21927999999999,43.80803999999999],[-79.21932999999999,43.80801999999999],[-79.21939999999999,43.80798999999999],[-79.21949999999999,43.80794999999999],[-79.21953999999999,43.80794]]}",1319 Neilson Rd,"173","203",0.852216748768473,43.8084516,-79.2179309,"11329",1315 and 1319 Neilson Rd,43.807848,-79.219558,Some,"1","1","132","5",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.19726,43.74280999999999],[-79.19726,43.74282999999999],[-79.19726,43.74284999999999],[-79.19726,43.74287],[-79.19727,43.74289999999999],[-79.19728999999999,43.74295],[-79.19747999999999,43.7434],[-79.1975,43.74354],[-79.19765999999999,43.74391],[-79.19768999999999,43.74398],[-79.19783999999999,43.74432999999999],[-79.19786,43.74439999999999],[-79.19794,43.74457999999999],[-79.19795999999999,43.74465],[-79.19799,43.74470999999999],[-79.19813999999999,43.74506999999999],[-79.19817999999999,43.74517999999999],[-79.19821,43.74526],[-79.19841999999999,43.74575],[-79.19849999999999,43.74586],[-79.19866,43.74624],[-79.19867999999999,43.74636999999999],[-79.19871,43.74647],[-79.19875999999999,43.74651999999999],[-79.19886999999999,43.74674999999999],[-79.19889999999999,43.74683],[-79.19894999999999,43.74694],[-79.19898,43.74698999999999],[-79.19899999999999,43.74703999999999],[-79.19898999999999,43.74712999999999],[-79.19907999999999,43.74732999999999],[-79.19911,43.74739999999999],[-79.19912999999999,43.74743999999999],[-79.19912999999999,43.74743999999999],[-79.19929999999999,43.74739999999999],[-79.19929999999999,43.74741],[-79.19934,43.74739999999999],[-79.19941,43.74738]]}",45 Livingston Rd,"175","241",0.726141078838174,43.7428039,-79.1967953,"2681",Guildwood Pkwy at Livingston Rd,43.74735,-79.199399,Some,"1","1","557","6",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.19746999999999,43.74439999999999],[-79.19751999999999,43.74443999999999],[-79.19762,43.7445],[-79.19762,43.74452999999999],[-79.19762,43.74457],[-79.19764999999999,43.74459999999999],[-79.19768,43.74463],[-79.19771,43.74463999999999],[-79.19771,43.74463999999999],[-79.19774999999999,43.74466],[-79.19786,43.74466999999999],[-79.19795999999999,43.74465],[-79.19795999999999,43.74465],[-79.19799,43.74470999999999],[-79.19813999999999,43.74506999999999],[-79.19817999999999,43.74517999999999],[-79.19821,43.74526],[-79.19841999999999,43.74575],[-79.19849999999999,43.74586],[-79.19866,43.74624],[-79.19867999999999,43.74636999999999],[-79.19871,43.74647],[-79.19875999999999,43.74651999999999],[-79.19886999999999,43.74674999999999],[-79.19889999999999,43.74683],[-79.19894999999999,43.74694],[-79.19898,43.74698999999999],[-79.19899999999999,43.74703999999999],[-79.19898999999999,43.74712999999999],[-79.19907999999999,43.74732999999999],[-79.19911,43.74739999999999],[-79.19912999999999,43.74743999999999],[-79.19912999999999,43.74743999999999],[-79.19929999999999,43.74739999999999],[-79.19929999999999,43.74741],[-79.19934,43.74739999999999],[-79.19941,43.74738]]}",55 Livingston Rd,"132","262",0.50381679389313,43.7444819,-79.1973242,"2681",Guildwood Pkwy at Livingston Rd,43.74735,-79.199399,Some,"1","1","407","7",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.20207,43.74638999999999],[-79.20215,43.74638],[-79.20220999999999,43.74638999999999],[-79.20229999999999,43.74640999999999],[-79.20229999999999,43.74640999999999],[-79.20237,43.74635],[-79.20243999999999,43.74629999999999],[-79.20244999999999,43.74629],[-79.20252999999999,43.74622999999999],[-79.20261999999999,43.74618],[-79.20261999999999,43.74616999999999],[-79.20266999999999,43.74615]]}",71 Guildwood Pky,"71","106",0.669811320754717,43.7461122,-79.2018459,"2685",Guildwood Pkwy at Prince Philip Blvd East Side,43.746141,-79.20265,Some,"0","0","62","8",Google,"0",
"{""type"":""LineString"",""coordinates"":[[-79.20335,43.78088],[-79.2034,43.78087],[-79.20404999999999,43.78070999999999],[-79.20404999999999,43.78070999999999],[-79.20411,43.78083],[-79.20414999999999,43.7809],[-79.20418999999999,43.78101],[-79.20425,43.78116],[-79.20429,43.78123],[-79.20429,43.78123],[-79.20421,43.78123],[-79.20417,43.78121999999999],[-79.20414999999999,43.78121999999999]]}",2877 Ellesmere Rd,"124","178",0.696629213483146,43.7806535,-79.2032217,"11597",Centenary Hospital Loop at Neilson Rd,43.78123,-79.204142,Some,"0","0","134","9",Google,"0",
"{""type"":""LineString"",""coordinates"":[[-79.18859999999999,43.76688],[-79.18962,43.76659],[-79.18962,43.76659],[-79.18971999999999,43.76682999999999],[-79.18974,43.76686999999999],[-79.18980999999999,43.76702],[-79.18985999999999,43.76711],[-79.18985999999999,43.76711],[-79.18980999999999,43.76717],[-79.18962,43.76738]]}",4175 Lawrence Ave E,"109","352",0.309659090909091,43.7671631,-79.1887556,"6488",Kingston Rd at Lawrence Ave East,43.767363,-79.189589,Some,"1","1","201","10",Google,"0",Shelter With Bench Underneath
