stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,has_shelter,has_shelter_with_bench,has_bench
262,662,Danforth Rd at Kennedy Rd,,43.714379,-79.260939,,,,,,1,False,False,False
263,929,Davenport Rd at Bedford Rd,,43.674448,-79.399659,,,,,,1,False,False,False
264,940,Davenport Rd at Dupont St,,43.675511,-79.401938,,,,,,2,True,False,True
265,1871,Davisville Ave at Cleveland St,,43.702088,-79.378112,,,,,,1,True,True,True
266,11700,Disco Rd at Attwell Dr,,43.701362,-79.594843,,,,,,1,True,True,False
267,3478,Disco Rd at Attwell Dr,,43.701043,-79.595806,,,,,,1,False,False,False
268,3479,Disco Rd at Carlingview Dr East Side,,43.69981,-79.600769,,,,,,1,True,True,False
269,3480,Disco Rd at Carlingview Dr,,43.699929,-79.601176,,,,,,1,True,True,False
270,14258,Don Mills Rd at Eglinton Ave East,,43.720674,-79.339121,,,,,,1,False,False,False
271,9125,Don Mills Rd at Eglinton Ave East North Side,,43.721373,-79.338926,,,,,,1,True,True,False
273,14255,Don Mills Rd at Lawrence Ave East South Side,,43.736625,-79.343442,,,,,,1,False,False,True
274,1950,Don Mills Rd at Leith Hill Rd,,43.777291,-79.348163,,,,,,1,True,True,False
278,1974,Don Mills Rd at Steeles Ave East,,43.81104,-79.360513,,,,,,1,False,True,False
279,1975,Don Mills Rd at Van Horne Ave,,43.787246,-79.352783,,,,,,1,True,True,False
280,1977,Don Mills Rd at Wynford Dr,,43.722851,-79.339326,,,,,,1,True,True,False
284,5006,Doncaster Ave at Main St West Side,,43.691659,-79.303796,,,,,,1,False,False,False
285,5007,Doncaster Ave at Main St,,43.691607,-79.303525,,,,,,1,False,False,False
286,5008,Doncaster Ave at Main St,,43.691816,-79.303103,,,,,,1,False,False,False
289,9288,Drewry Ave at Gardenia Crt,,43.78388,-79.431676,,,,,,1,True,True,False
290,9275,Drewry Ave at Grantbrook St,,43.783607,-79.433593,,,,,,1,False,False,True
291,979,Dufferin St at Yorkdale Rd,,43.726531,-79.457356,,,,,,1,True,True,False
291,979,Dufferin St at Yorkdale Rd,,43.726531,-79.457356,,,,,,1,True,True,False
293,985,Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre,,43.725083,-79.456993,,,,,,1,True,True,False
294,11630,Dufferin Mall,,43.655795,-79.434031,,,,,,1,False,False,False
295,9856,Dundas St West at Bloor St West,,43.656442,-79.452572,,,,,,2,False,False,True
296,9942,Dundas St West at Jane St East Side,,43.665583,-79.490433,,,,,,2,False,False,False
297,9943,Dundas St West at Jane St West Side,,43.66578,-79.492146,,,,,,2,False,False,False
298,4455,Dundas St West at Runnymede Rd West Side,,43.66565,-79.482921,,,,,,1,False,False,False
300,13702,Dundas St West at Dundas West Outer Platform,,43.656768,-79.453253,,,,,,2,False,False,False
303,13898,Duplex Ave at Eglinton Ave West,,43.70623,-79.400108,,,,,,2,False,False,False
307,11651,East York Town Centre,,43.705908,-79.347132,,,,,,2,True,True,False
308,11181,Eastern Ave at Queen St East South Side,,43.666788,-79.312738,,,,,,1,True,True,False
310,9855,Edna Ave at Dundas St West,,43.657134,-79.453027,,,,,,1,False,False,False
312,2240,Eglinton Ave East at Bayview Ave East Side,,43.711112,-79.376375,,,,,,2,True,True,False
317,2253,Eglinton Ave East at Brimley Rd West Side,,43.736674,-79.248799,,,,,,1,True,True,False
320,3539,Eglinton Ave East at Kennedy Station,,43.732292,-79.267117,,,,,,1,True,True,False
321,5071,Eglinton Ave East at Laird Dr,,43.713371,-79.365372,,,,,,1,False,False,False
322,2288,Eglinton Ave East at Markham Rd West Side,,43.743168,-79.219635,,,,,,1,True,True,False
323,1036,Eglinton Ave East at Midland Ave West Side,,43.734493,-79.258911,,,,,,1,True,True,False
330,11488,Eglinton Ave West at Avenue Rd East Side,,43.704641,-79.407957,,,,,,1,False,False,False
331,9897,Eglinton Ave West at Yonge St,,43.706456,-79.399437,,,,,,1,False,False,False
336,2354,Eglinton Ave West at Glenarden Rd,,43.699564,-79.432546,,,,,,1,True,False,False
337,2366,Eglinton Ave West at Jane St East Side,,43.68452,-79.498076,,,,,,1,True,False,False
338,2380,Eglinton Ave West at Marlee Ave,,43.698127,-79.439204,,,,,,1,True,True,False
339,13440,Eglinton Ave West at Marlee Ave,,43.698177,-79.438962,,,,,,1,False,False,False
340,2388,Eglinton Ave West at Oakwood Ave,,43.697197,-79.442946,,,,,,1,False,False,False
342,9383,Eglinton Ave West at Weston Rd,,43.68671,-79.489925,,,,,,1,False,False,True
343,2419,Eglinton Ave West at Weston Rd,,43.687153,-79.489369,,,,,,1,True,True,False
343,2419,Eglinton Ave West at Weston Rd,,43.687153,-79.489369,,,,,,1,True,True,False
344,9898,Eglinton Ave West at Yonge St West Side,,43.706695,-79.398957,,,,,,1,True,True,False
345,11506,Eighth St at Birmingham St,,43.602795,-79.507259,,,,,,2,False,False,False
346,3543,Eighth St at Lake Shore Blvd West North Side,,43.60078,-79.506431,,,,,,1,True,True,True
348,10904,Ellesmere Rd at Mirrow Crt,,43.787289,-79.185159,,,,,,2,True,True,False
349,9622,Ellesmere Rd at East Service Rd,,43.767379,-79.273102,,,,,,2,False,False,False
350,9619,Ellesmere Rd at East Service Rd,,43.767743,-79.272603,,,,,,1,True,True,False
351,9604,Ellesmere Rd at McCowan Rd East Side,,43.77225,-79.25047,,,,,,1,True,True,False
352,6368,Ellesmere Rd at Pharmacy Ave,,43.758847,-79.310443,,,,,,1,True,True,False
353,6372,Ellesmere Rd at Victoria Park Ave,,43.758123,-79.31474,,,,,,1,True,True,False
354,9621,Ellesmere Rd at West Service Rd East Side,,43.766111,-79.278977,,,,,,2,False,False,False
355,9620,Ellesmere Rd at West Service Rd,,43.766455,-79.278682,,,,,,2,False,False,False
358,6375,The Esplanade at Lower Jarvis St East Side,,43.648249,-79.370453,,,,,,1,True,True,False
359,2435,Evans Ave at Brown's Line,,43.610792,-79.549007,,,,,,2,True,False,False
362,11202,Farnboro Rd at Attwell Dr East Side,,43.691554,-79.58687,,,,,,1,True,False,False
363,9910,Finch Ave East at Finchdene Sq West Side,,43.815508,-79.231916,,,,,,1,True,True,False
364,9909,Finch Ave East at Neilson Rd West Side,,43.816209,-79.228536,,,,,,1,True,True,False
365,9912,Finch Ave East at Yonge St East Side,,43.779842,-79.414782,,,,,,1,True,True,False
366,4750,Airport Rd at Beverley St,,43.707577,-79.647762,,,,,,2,False,False,False
367,4752,Airport Rd at Bresler Dr West Side,,43.685993,-79.607576,,,,,,2,False,False,False
368,4753,Airport Rd at Bresler Dr,,43.686085,-79.606403,,,,,,2,False,False,False
369,4768,Airport Rd at Victory Cres,,43.707589,-79.647215,,,,,,2,False,False,False
370,6222,Albion Rd at Elmhurst Dr,,43.725042,-79.550293,,,,,,1,True,True,False
371,13427,Albion Rd at Humberline Dr,,43.746942,-79.621692,,,,,,1,True,True,False
372,6228,Albion Rd at Islington Ave,,43.737291,-79.565054,,,,,,2,False,False,False
375,3300,Attwell Dr at Belfield Rd North Side,,43.698444,-79.593272,,,,,,1,False,False,False
376,3297,Attwell Dr at Disco Rd,,43.701039,-79.594894,,,,,,1,False,False,True
377,3299,Attwell Dr at Marmac Dr South Side,,43.695237,-79.589518,,,,,,1,False,False,True
378,9304,Attwell Dr at McLachlan Dr,,43.693656,-79.588761,,,,,,1,True,True,True
379,14093,Aukland Rd at Dundas St West,,43.638954,-79.539233,,,,,,2,False,False,True
381,11238,Avenue Rd at Old Orchard Grove,,43.731855,-79.419461,,,,,,1,False,False,False
383,13478,3174 Bathurst St,,43.721937,-79.430488,,,,,,1,False,True,True
384,134,Bathurst St at Elm Ridge Dr,,43.705395,-79.426541,,,,,,1,False,True,False
386,143,Bathurst St at Glencairn Ave,,43.71225,-79.427979,,,,,,1,False,False,False
388,204,Bathurst St at St Clair Ave West,,43.683275,-79.418455,,,,,,1,False,False,False
390,9719,Bathurst St at Steeles Ave West,,43.792055,-79.445475,,,,,,1,False,True,False
392,11641,Baycrest Home For Aged,,43.729774,-79.434176,,,,,,2,False,False,False
393,11640,Wagman Centre,,43.729171,-79.439941,,,,,,2,False,False,False
394,9122,Bayview Ave at Valleyanna Dr,,43.724199,-79.379442,,,,,,1,True,True,False
395,3325,Belfield Rd at Brockport Dr West Side,,43.698945,-79.588836,,,,,,1,False,True,False
396,3326,Belfield Rd at Brockport Dr,,43.698544,-79.589609,,,,,,1,True,True,False
397,11091,Berry Rd at Park Lawn Rd,,43.635915,-79.494083,,,,,,1,True,True,False
398,1740,Birchmount Rd at Finch Ave East,,43.799148,-79.306217,,,,,,1,True,True,True
398,1740,Birchmount Rd at Finch Ave East,,43.799148,-79.306217,,,,,,1,True,True,True
399,7549,Birchmount Rd at Highview Ave South Side,,43.69976,-79.265226,,,,,,1,True,True,False
400,7550,Birchmount Rd at Highview Ave,,43.699574,-79.264956,,,,,,1,True,True,False
401,9720,Birchmount Rd at Steeles Ave South Side,,43.820861,-79.316825,,,,,,1,True,True,False
403,526,Bloor St West at Islington Ave West Side,,43.64451,-79.524265,,,,,,1,True,True,False
404,11999,Bloor St West at Islington Ave,,43.644845,-79.52317,,,,,,1,False,False,False
405,9952,Bloor St West at Jane St,,43.649118,-79.484624,,,,,,1,True,True,False
409,12258,Brentcliffe Rd at Vanderhoof Ave,,43.712582,-79.35886,,,,,,2,True,True,False
412,14314,Church St at Lombard St North Side,,43.652135,-79.375233,,,,,,2,True,True,False
413,4886,Church St at Uphill Ave,,43.708692,-79.508365,,,,,,1,True,True,False
416,9534,Cordova Ave at Dundas St West,,43.648728,-79.528413,,,,,,2,False,False,False
418,4908,Coxwell Ave at Mortimer Ave - Michael Garron Hospital,,43.690745,-79.326731,,,,,,1,True,True,False
419,4911,Coxwell Ave at Plains Rd,,43.696055,-79.328913,,,,,,1,False,True,False
425,1842,3450 Danforth Ave,,43.694178,-79.275031,,,,,,1,True,True,True
426,9955,Danforth Ave at Main St,,43.688277,-79.301688,,,,,,1,False,False,False
427,4003,Keele St at Keelegate Dr,,43.73283,-79.483379,,,,,,1,True,True,False
428,11689,Keele St at St Clair Ave West,,43.672216,-79.467341,,,,,,1,True,True,False
429,7899,Keele St at St Clair Ave West,,43.672009,-79.467228,,,,,,1,False,False,False
430,10755,Keele St at Toro Rd,,43.75995,-79.490202,,,,,,1,False,False,False
431,9154,Keele St at Wilson Ave North Side,,43.72718,-79.481969,,,,,,1,True,True,True
432,14141,Wilson Ave at Keele St North Side,,43.727289,-79.481998,,,,,,1,False,False,True
433,2752,Kennedy Rd at Eglinton Ave East,,43.731911,-79.267673,,,,,,1,False,True,False
434,4113,Kennedy Rd at Progress Ave,,43.769265,-79.282028,,,,,,1,True,True,False
435,13624,King St West at Shaw St East Side,,43.641451,-79.414528,,,,,,1,True,True,False
437,4187,King St West at Strachan Ave,,43.641936,-79.412095,,,,,,1,False,True,True
440,4285,Kipling Ave at Belfield Rd - Etobicoke North GO Station,,43.704725,-79.56316,,,,,,1,False,True,False
441,4291,Kipling Ave at Bloor St West North Side,,43.642305,-79.535426,,,,,,1,False,False,False
444,5213,Lansdowne Ave at Davenport Rd South Side,,43.671144,-79.44826,,,,,,2,True,True,False
445,11632,Lansdowne Ave at Dundas St West South Side,,43.649559,-79.439653,,,,,,2,True,True,False
446,11578,Lansdowne Ave at St Clair Ave West,,43.676123,-79.450405,,,,,,1,True,False,False
447,13068,Lawrence Ave East at East Ave - Rouge Hill GO Station,,43.780829,-79.131368,,,,,,1,True,True,False
448,5299,Lawrence Ave East at Orton Park Rd,,43.763877,-79.205766,,,,,,1,True,True,False
449,5357,Lawrence Ave West at Culford Rd,,43.706494,-79.487529,,,,,,1,True,True,False
451,6046,Lawrence Ave West at Scarlett Rd East Side,,43.698378,-79.522285,,,,,,2,False,False,False
452,5410,Lawrence Ave West at Varna Dr West Side,,43.717543,-79.437933,,,,,,1,False,True,False
453,5415,Lawrence Ave West at Weston Rd - Weston GO Station,,43.700276,-79.516006,,,,,,1,True,True,False
454,11638,Lawrence Plaza at Canada Trust,,43.719613,-79.432586,,,,,,1,False,False,False
455,11637,Lawrence Sq at Northwest Entrance,,43.717187,-79.448281,,,,,,1,False,False,False
456,11145,Leslie St at Eastern Ave,,43.661641,-79.329622,,,,,,1,True,True,False
457,5451,Leslie St at Kirkwood Rd North Side,,43.757087,-79.36075,,,,,,1,True,True,False
458,5455,Leslie St at Lawrence Ave East,,43.734288,-79.355687,,,,,,1,True,True,False
459,11377,Leslie St at Queen St East South Side,,43.662648,-79.330047,,,,,,1,True,True,False
461,1242,Lonsdale Rd at Avenue Rd East Side,,43.690834,-79.402303,,,,,,1,True,True,False
462,13366,Exhibition Loop at Manitoba Dr,,43.636511,-79.41471,,,,,,2,False,False,False
463,12584,Exhibition Loop,,43.636331,-79.415373,,,,,,1,False,False,True
465,6528,Toronto Zoo,,43.819735,-79.179955,,,,,,1,True,True,True
466,6527,Toronto Zoo,,43.819606,-79.17988,,,,,,1,True,True,True
467,6526,Toronto Zoo,,43.819273,-79.179669,,,,,,1,True,True,False
470,6530,Rouge Hill GO Station Loop,,43.780905,-79.129822,,,,,,1,False,False,False
471,6532,Humber Loop at The Queensway,,43.631119,-79.478867,,,,,,1,False,False,False
475,7948,Earlscourt Loop at St Clair Ave West,,43.675983,-79.451027,,,,,,2,False,False,False
477,4435,Long Branch Loop,,43.592111,-79.5437,,,,,,1,False,False,False
478,10927,Queens Quay Loop at Lower Spadina Ave,,43.638419,-79.39184,,,,,,1,False,False,True
481,11155,Sunnyside Loop,,43.639046,-79.448354,,,,,,2,False,False,False
485,14061,Westwood Square Bus Terminal at Morning Star Dr,,43.721726,-79.640711,,,,,,2,False,False,False
486,2852,Lumsden Ave at Westlake Ave,,43.694557,-79.307848,,,,,,1,False,False,False
487,11364,Progress Ave at Markham Rd East Side,,43.781933,-79.233259,,,,,,1,True,True,False
488,11635,Toronto Rehab - Bickle Centre at 130 Dunn Ave,,43.635202,-79.432965,,,,,,2,False,False,False
489,11845,Queen St East at Kingston Rd,,43.667029,-79.312948,,,,,,1,True,True,False
490,13461,Queen St East at Kingston Rd,,43.667119,-79.31289,,,,,,2,False,False,False
491,6051,Queen St West at Shaw St,,43.644499,-79.416852,,,,,,1,False,False,False
492,8038,Queen's Park Cres West at Hoskin Ave,,43.665601,-79.393747,,,,,,1,True,True,False
493,1459,Queen's Park Cres East at St Joseph St North Side,,43.66527,-79.391226,,,,,,1,False,True,False
496,12139,The Queensway at Morgan Ave,,43.626433,-79.501779,,,,,,1,True,True,False
497,6920,The Queensway at Stephen Dr,,43.630517,-79.484019,,,,,,2,False,False,False
498,6923,The Queensway at Windermere Ave West Side,,43.637314,-79.470466,,,,,,1,True,True,False
499,11631,55 Rankin Cres,,43.658448,-79.446615,,,,,,2,False,False,False
500,6011,Rathburn Rd at Lloyd Manor Rd,,43.659201,-79.546369,,,,,,1,False,False,False
510,8069,Renforth Dr at Eglinton Ave West,,43.666096,-79.587166,,,,,,1,True,True,False
512,11628,Michael Power / St Joseph H.S.,,43.659476,-79.582965,,,,,,1,False,False,False
513,11627,Michael Power / St Joseph H.S.,,43.659289,-79.582873,,,,,,1,False,False,False
520,6031,Rogers Rd at Keele St,,43.68219,-79.471323,,,,,,1,False,False,False
522,6991,Royal York Rd at Dixon Rd,,43.699615,-79.533986,,,,,,2,False,False,False
523,12175,Royal York Rd at Eglinton Ave West South Side,,43.681704,-79.526478,,,,,,2,False,False,False
526,8082,Sentinel Rd at Finch Ave West,,43.761193,-79.500227,,,,,,1,True,True,False
527,4498,Sentinel Rd at The Pond Rd,,43.769916,-79.502298,,,,,,1,True,True,False
528,10870,Sewells Rd at Brenyon Way East Side,,43.807953,-79.215028,,,,,,1,True,True,False
529,10873,Sewells Rd at Brenyon Way,,43.80792,-79.215527,,,,,,1,True,True,False
530,10871,Sewells Rd at McLevin Ave,,43.810308,-79.213775,,,,,,2,True,True,False
532,7172,Sheppard Ave East at Commons Dr,,43.775706,-79.320546,,,,,,1,True,True,True
533,11025,Sheppard Ave East at Commons Dr,,43.775605,-79.320939,,,,,,1,False,False,False
534,11669,Sheppard Ave East at Meadowvale Rd,,43.80818,-79.171104,,,,,,2,True,True,False
535,13918,Sheppard Ave East at Victoria Park Ave East Side,,43.775286,-79.322236,,,,,,1,True,True,False
536,6069,Sheppard Ave West at Jane St East Side,,43.739369,-79.512583,,,,,,2,True,True,False
537,6087,Sheppard Ave West at Sentinel Rd,,43.743786,-79.491659,,,,,,1,True,True,True
538,4598,Sheppard Ave West at William R Allen Rd West Side,,43.750252,-79.463904,,,,,,1,True,True,False
540,3117,Sherway Gardens Rd at Sherway Gate (Mall),,43.609729,-79.558438,,,,,,1,True,True,True
541,9108,Sherway Gardens Rd at Sherway Gate (Mall) West Side,,43.610024,-79.558228,,,,,,1,False,False,False
542,9109,Sherway Gardens Rd at Sherway Gate (Mall),,43.609785,-79.558022,,,,,,1,False,False,False
543,11587,Sherway Gardens Rd at Sherway Gate (Mall),,43.609847,-79.557773,,,,,,1,True,True,False
549,1262,Main St at Danforth Ave,,43.688037,-79.301635,,,,,,2,True,False,False
550,11826,Main St at Danforth Ave,,43.687796,-79.301532,,,,,,1,False,False,False
551,2855,Main St at Doncaster Ave,,43.691558,-79.303255,,,,,,2,False,False,False
552,1264,Main St at Gerrard St East,,43.684061,-79.300315,,,,,,1,True,True,False
553,13923,Main St at Gerrard St East,,43.684182,-79.300207,,,,,,1,False,False,False
558,13900,Markham Rd at Passmore Ave North Side,,43.831141,-79.250611,,,,,,2,False,False,False
560,11331,Martin Grove Rd at Finch Ave West North Side,,43.737241,-79.591714,,,,,,1,True,True,False
561,5620,Martin Grove Rd at John Garland Blvd,,43.731919,-79.589166,,,,,,1,True,True,False
562,5627,Martin Grove Rd at Mercury Rd,,43.726119,-79.586894,,,,,,1,True,True,False
563,7957,Westhumber Blvd at Martin Grove Rd North Side,,43.726355,-79.586705,,,,,,2,True,True,False
564,1286,2061 McCowan Rd,,43.795441,-79.261074,,,,,,1,True,True,False
565,777,McCowan Rd at Bushby Dr North Side,,43.774936,-79.252175,,,,,,1,False,False,False
566,9993,McCowan Rd at Elson St,,43.834965,-79.27602,,,,,,1,False,False,False
567,9807,McCowan Rd at Steeles Ave East North Side,,43.83177,-79.2752,,,,,,1,False,False,False
568,10577,McCowan Rd at Steeles Ave East South Side,,43.830294,-79.275161,,,,,,1,True,True,False
