stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,has_shelter,has_shelter_with_bench,has_bench
320,3539,Eglinton Ave East at Kennedy Station,,43.732292,-79.267117,,,,,,1,TRUE,TRUE,FALSE
960,12203,Lawrence West Station,,43.716218,-79.444374,,,,,,1,FALSE,FALSE,FALSE
1551,10945,Queens Quay/Ferry Docks Station,,43.641806,-79.377186,,,,,,1,FALSE,FALSE,TRUE
2351,3665,Glencairn Station,,43.709467,-79.441148,,,,,,1,FALSE,FALSE,FALSE
2778,3666,Glencairn Station,,43.709595,-79.441316,,,,,,1,FALSE,FALSE,FALSE
4288,11376,Victoria Park Ave at Victoria Park Station,,43.694208,-79.289374,,,,,,1,FALSE,FALSE,FALSE
5635,9618,Midland Ave at Midland Station,,43.770503,-79.271864,,,,,,1,FALSE,FALSE,FALSE
5675,776,Christie Station,,43.664124,-79.418567,,,,,,1,TRUE,TRUE,FALSE
6770,12202,Lawrence West Station,,43.715964,-79.444097,,,,,,2,FALSE,FALSE,FALSE
9227,10935,Union Station,,43.645652,-79.37921,,,,,,1,FALSE,FALSE,FALSE
9506,5692,Midland Ave at Midland Station,,43.770434,-79.272115,,,,,,1,FALSE,FALSE,FALSE
10390,10946,Queens Quay/Ferry Docks Station,,43.641422,-79.377093,,,,,,1,FALSE,FALSE,TRUE
14141,14617,Bathurst Station,,43.666061,-79.411065,,,,,,1,FALSE,FALSE,FALSE
14142,14619,Bathurst Station,,43.666532,-79.411286,,,,,,2,FALSE,FALSE,FALSE
14143,14620,Leslie Station,,43.77041,-79.367644,,,,,,1,FALSE,FALSE,FALSE
14144,14621,Leslie Station,,43.770516,-79.367765,,,,,,1,FALSE,FALSE,FALSE
14145,14623,Don Mills Station,,43.776123,-79.346242,,,,,,1,FALSE,FALSE,TRUE
14146,14624,Don Mills Station,,43.776036,-79.34585,,,,,,1,FALSE,FALSE,FALSE
14147,14625,Don Mills Station,,43.775993,-79.3455,,,,,,1,FALSE,FALSE,FALSE
14148,14626,Don Mills Station,,43.776014,-79.345151,,,,,,1,FALSE,FALSE,FALSE
14150,14628,Don Mills Station,,43.775804,-79.345236,,,,,,1,FALSE,FALSE,FALSE
14151,14629,Don Mills Station,,43.775755,-79.345605,,,,,,1,FALSE,FALSE,FALSE
14152,14630,Don Mills Station,,43.775711,-79.345959,,,,,,1,FALSE,FALSE,FALSE
14153,14631,Don Mills Station,,43.775638,-79.346345,,,,,,1,FALSE,FALSE,FALSE
14154,14632,Don Mills Station,,43.775898,-79.346949,,,,,,1,FALSE,FALSE,FALSE
14155,14633,Don Mills Station,,43.775988,-79.346987,,,,,,1,FALSE,FALSE,FALSE
14156,14634,Broadview Station,,43.67715,-79.357849,,,,,,1,FALSE,FALSE,FALSE
14159,14637,Broadview Station,,43.676772,-79.358451,,,,,,1,FALSE,FALSE,FALSE
14160,14638,Broadview Station,,43.676691,-79.358611,,,,,,1,FALSE,FALSE,FALSE
14163,14641,Castle Frank Station,,43.673452,-79.369136,,,,,,1,FALSE,FALSE,FALSE
14164,14642,Castle Frank Station,,43.673628,-79.36885,,,,,,1,FALSE,FALSE,FALSE
14165,14643,Coxwell Station,,43.684079,-79.322919,,,,,,1,FALSE,FALSE,FALSE
14166,14644,Coxwell Station,,43.684135,-79.323123,,,,,,1,FALSE,FALSE,FALSE
14167,14645,Davisville Station,,43.697614,-79.396911,,,,,,1,FALSE,FALSE,FALSE
