_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,geometry
1,727,BE-00006,None,None,Steeles Ave W,North,Kipling Ave,East,03394,01,None,Standard,Existing,B0103394,,"{'type': 'MultiPoint', 'coordinates': [[-79.5896040343896, 43.7598134299448]]}"
2,728,BE-00008,1104,Albion Rd,Islington Ave,West,Albion Rd,North,00079,01,Albion Islington Square,Standard,Existing,B0100079,,"{'type': 'MultiPoint', 'coordinates': [[-79.565751543422, 43.7377474060965]]}"
3,729,BE-00013,4333,Bloor St W,Bloor St W,South,Mill Rd,West,03038,02,None,Standard,Existing,B0303038,,"{'type': 'MultiPoint', 'coordinates': [[-79.57532325174, 43.6318213066742]]}"
4,730,BE-00015,25,The West Mall,The West Mall,North,Sherway Gardens Rd,West,04408,03,None,Standard,Existing,B0504408,,"{'type': 'MultiPoint', 'coordinates': [[-79.5605556927643, 43.6097429415276]]}"
5,731,BE-00021,2294,Islington Ave,Islington Ave,West,Resources Rd,South,01745,01,None,Standard,Existing,B0201745,,"{'type': 'MultiPoint', 'coordinates': [[-79.5519042383935, 43.7078385206653]]}"
6,732,BE-00023,1798,Eglinton Ave W,Eglinton Ave W,North,Dufferin St,East,07101,12,York-Eglinton,Standard,Temporarily Removed,B1507101,,"{'type': 'MultiPoint', 'coordinates': [[-79.4491641873852, 43.6960159820219]]}"
7,733,BE-00025,27,Edenvale Cres,Eglinton Ave W,South,Royal York Rd,West,04316,02,None,Standard,Existing,B0404316,,"{'type': 'MultiPoint', 'coordinates': [[-79.527029661438, 43.6820783400059]]}"
8,734,BE-00029,409,Markland Dr,Bloor St W,South,Markland Dr,East,03127,02,None,Standard,Existing,B0303127,,"{'type': 'MultiPoint', 'coordinates': [[-79.5704912464224, 43.6335462910033]]}"
9,735,BE-00031,4333-4335,Bloor St W,Mill Rd,West,Bloor St W,South,03039,02,None,Standard,Existing,B0303039,,"{'type': 'MultiPoint', 'coordinates': [[-79.575090114161, 43.6317970122721]]}"
10,736,BE-00035,35,Warrender Ave,Kipling Ave,East,Eglinton Ave W,South,05941,02,None,Mini,Existing,B0405941,,"{'type': 'MultiPoint', 'coordinates': [[-79.5505736136846, 43.6769564310528]]}"
11,737,BE-00037,400,The West Mall,Burnhamthorpe Rd,South,The West Mall,West,03291,02,None,Standard,Existing,B0303291,,"{'type': 'MultiPoint', 'coordinates': [[-79.5676086065007, 43.6443170570817]]}"
12,738,BE-00039,2,The East Mall,Dundas St W,North,The East Mall,East,01824,03,None,Standard,Existing,B0501824,,"{'type': 'MultiPoint', 'coordinates': [[-79.5511766004246, 43.630298677992]]}"
13,739,BE-00043,305,Martin Grove Rd,Martin Grove Rd,East,Savalon Crt,South,00183,02,None,Standard,Existing,B0300183,,"{'type': 'MultiPoint', 'coordinates': [[-79.5558184772528, 43.6586638565887]]}"
14,740,BE-00046,412,Renforth Dr,Renforth Dr,East,Renova Dr,North,00188,02,None,Standard,Existing,B0300188,,"{'type': 'MultiPoint', 'coordinates': [[-79.576986014805, 43.6467939379971]]}"
15,741,BE-00050,4402,Eglinton Ave W,Eglinton Ave W,South,Eden Valley Dr,West,01756,02,None,Standard,Existing,B0401756,,"{'type': 'MultiPoint', 'coordinates': [[-79.5331622807006, 43.6809178154616]]}"
16,743,BE-00058,86,Poplar Heights Dr,Islington Ave,East,Eglinton Ave W,South,01758,02,None,Standard,Existing,B0401758,,"{'type': 'MultiPoint', 'coordinates': [[-79.5386980221346, 43.6796575387485]]}"
17,744,BE-00060,936X,Islington Ave,Islington Ave,West,Bradbrook Rd,North,04158,03,None,Standard,Existing,B0504158,,"{'type': 'MultiPoint', 'coordinates': [[-79.5157699856029, 43.6256408309112]]}"
18,745,BE-00062,1671,Islington Ave,Islington Ave,East,Princess Margaret Blvd,South,01759,02,None,Standard,Existing,B0401759,,"{'type': 'MultiPoint', 'coordinates': [[-79.5371807438886, 43.6754248303566]]}"
19,746,BE-00066,175,The Westway,Islington Ave,East,The Westway,South,01757,02,None,Standard,Existing,B0401757,,"{'type': 'MultiPoint', 'coordinates': [[-79.5425828339434, 43.6884463308786]]}"
20,747,BE-00074,15,Trehorne Dr,Royal York Rd,West,Trehorne Dr,South,01763,02,None,Standard,Existing,B0401763,,"{'type': 'MultiPoint', 'coordinates': [[-79.5302165552574, 43.690204559005]]}"
21,748,BE-00076,1,Eagle Rd,Bloor St W,South,Eagle Rd,East,03130,03,None,Standard,Existing,B0503130,,"{'type': 'MultiPoint', 'coordinates': [[-79.5198132496634, 43.6453792213572]]}"
22,750,BE-00082,4777,Dufferin St,Dufferin St,East,Supertest Rd,South,03703,06,DuKe Heights,Standard,Existing,B1003703,,"{'type': 'MultiPoint', 'coordinates': [[-79.4689107684011, 43.7776987564667]]}"
